author,author_id,comment
xyrly,ac_cote_,"mungkin emg beberapa ada yg berprilaku buruk, tp guys tanpa kita tau, mereka kerja sampe larut malam, bahkan sampe gk tidur, kita mungkin mikir mrk cuma leha² tiap hari, tp nggak ya... mereka hanya menjalankan tugas dan kewajibannya, mrk netral, mrk hanya bisa menurut, mrk tdk bisa membangkang, kita semua terlalu terbawa emosi hingga tidak melihat kenyataan yg sebenar-benarnya"
🩷,niaaa3808,sedangkan biang keroknya lg leha2 di rumah mewahnya 😒
❀۶ৎ,sukamatcha1_77,prettttt
mamijoechannel,mamijoechannel,"semangat Bhayangkara Ku💪💪
Mata Tuhan Melihat Semua Lelah Mu
Tidak Ada Pekerjaan Yang Sia Sia Di Mata Tuhan
BRAVO POLRI KU👍🥰🥰"
ntan,tanmonca,"Teman saya juga yang jd polisi post tentang gaji dpr naik, mereka juga sama seperti kita ingin demo dan tdk terlalu suka dgn keputuasan itu dgn keadaan masyarakat yg susah, tp gmn itu tugas mereka. Dan saya juga tdk membenarkan oknum yang melindas ojol, itu juga mesti diadili dan harus transfaran hukumannya."
secret,alittlebitj,"mereka meninggal jg banyak pensiunannya, yg ojol kmrn ada pensiunan gak? orang lagi kuliah sambil kerja gak tau apa2 gak ikutan demo, tbtb meninggal di lindas org yang mereka biayai. rasanya spt org tua yg di bunuh anak sndiri."
ANG,legend.of.ang,Y aja dah biar cpt.
Ay aja.2,ayaja_58,"papa aku
polisi tapi maaf aku gk pro polisi apalagi tau brimop tabrak ojol semalam tambah benci aja aku sama polsi😭"
ISTRINYA FFF,yourqueen28_,"LU SEMUA ADA LIHAT GA VIDEO POLISI DI OLOK” DI LEMPARIN SAAT DEMO,DI KETAWAA”IN KARENA LUKA, BISA NGGA KALIAN SEMUA TUH JANGAN GELAP MATA,OTAKNYA DI PAKAI,JANGAN LIHAT DARI SATU SISI DOANG,PERBUATANNYA MMG GA DI BENARKAN TAPI KALIAN SADAR NGGA SIH, OKNUM PROVOKASI YANG MEMBUAT SEMUA INI TERJADI,LOGIKA AJA,ORANG MANA YG MAU DIAM DI LEMPARIN,DI BUAT BERDARAH,DIMANA KEADILAN BAGI SELURUH RAKYAT INDONESIA,EMANGNYA POLISI ITU BUKAN RAKYAT INDONESIA?, WOI MEREKA KEHALANG SERAGAM AJA,MEREKA JG MANUSIA BIASA YANG AKAN MARAH SAAT DI TINDAS, DAN SAYANGNYA MEREKA DI PERLAKUKAN SEPERTI ITU SAAT MEMAKAI SERAGAM"
sesepuh tianziyu 𖹭,mass.iannn,"teman kau ajalah, shrsny mrk ingat tugas utama mereka mengayomi bukan menganiaya aplgi membunuh."
belle,iybell,udh ga respect lgi plis gedeg bngtt
namie 🦌,anmateur,ga. mereka aja gapunya perasaan melind4s ojol
lalala,just_nassss,"respect cuma ke polisi yang bener bener terpaksa karna kerja BUKAN YANG MUKULIN RAKYAT SAMA NYEMPROT GAS AIR MATA LANGSUNG KE RAKYAT ""oknum itu"" banyak ya oknum nya"
ndra,yomnkndr_,JANGAN ADA YANG COBLOS DPR NANTI KALIAN HARUS GOLPUT🇮🇩🇮🇩
